Country,Flower,Scientific Name,Image URL,Symbolism
Finland,Lily of the valley,Clade,https://upload.wikimedia.org/wikipedia/commons/thumb/f/f9/Convallaria_majalis_inflorescence_-_Keila.jpg/220px-Convallaria_majalis_inflorescence_-_Keila.jpg,"The lily of the valley was the national flower of Yugoslavia,[46] and it also became the national flower of Finland in 1967.[47]"
France,Iris sibirica,Iris sibirica,https://upload.wikimedia.org/wikipedia/commons/thumb/e/e5/Sibirische_Schwertlilie%2C_Iris_sibirica_06.JPG/220px-Sibirische_Schwertlilie%2C_Iris_sibirica_06.JPG,
Guernsey,Nerine sarniensis,Nerine sarniensis,https://upload.wikimedia.org/wikipedia/commons/thumb/3/3a/Nerine_Sarniensis_Bloom.jpg/220px-Nerine_Sarniensis_Bloom.jpg,
Iceland,White dryad,Aemona,https://upload.wikimedia.org/wikipedia/commons/thumb/8/81/AemonaLena165_2.jpg/220px-AemonaLena165_2.jpg,
Lithuania,Ruta graveolens,Clade,https://upload.wikimedia.org/wikipedia/commons/thumb/6/66/Die_Weinraute%2C_lat._Ruta_graveolens%2C_Pflanze_mit_den_gelben_Bl%C3%BCten.jpg/220px-Die_Weinraute%2C_lat._Ruta_graveolens%2C_Pflanze_mit_den_gelben_Bl%C3%BCten.jpg,"The bitter taste of its leaves led to rue being associated with the (etymologically unrelated) verb rue ""to regret"". Rue is well known for its symbolic meaning of regret and it has sometimes been called ""herb-of-grace"" in literary works. In mythology,[26] the basilisk, whose breath could cause plants to wilt and stones to crack, had no effect on rue.  Weasels who were bitten by the basilisk would retreat and eat rue in order to recover and return to fight."
Netherlands,Daisy,Not found,Not found,
Poland,Red poppy,Papaver rhoeas,https://upload.wikimedia.org/wikipedia/commons/thumb/9/93/Papaver_rhoeas_-_K%C3%B6hler%E2%80%93s_Medizinal-Pflanzen-101.jpg/220px-Papaver_rhoeas_-_K%C3%B6hler%E2%80%93s_Medizinal-Pflanzen-101.jpg,
Portugal,Lavender,Clade,https://upload.wikimedia.org/wikipedia/commons/thumb/7/7e/Single_lavender_flower02.jpg/220px-Single_lavender_flower02.jpg,
Portugal,Carnation,Dianthus caryophyllus,https://upload.wikimedia.org/wikipedia/commons/thumb/3/3b/W_carnation4051.jpg/220px-W_carnation4051.jpg,
Romania,Peony,Paeonia suffruticosa,https://upload.wikimedia.org/wikipedia/commons/thumb/f/fd/PaeoniaSuffruticosa7.jpg/220px-PaeoniaSuffruticosa7.jpg,
Russia,Chamomile,Not found,Not found,
Serbia,Natalie's ramonda,Ramonda nathaliae,https://upload.wikimedia.org/wikipedia/commons/thumb/9/90/Ramonda_nathaliae.jpg/220px-Ramonda_nathaliae.jpg,
Slovakia,Tilia,Tilia,https://upload.wikimedia.org/wikipedia/commons/thumb/8/8d/Tilia_tomentosa.jpg/220px-Tilia_tomentosa.jpg,
Slovenia,Carnation,Dianthus caryophyllus,https://upload.wikimedia.org/wikipedia/commons/thumb/3/3b/W_carnation4051.jpg/220px-W_carnation4051.jpg,
Spain,Carnation,Dianthus caryophyllus,https://upload.wikimedia.org/wikipedia/commons/thumb/3/3b/W_carnation4051.jpg/220px-W_carnation4051.jpg,
Sweden,Campanula rotundifolia,Campanula rotundifolia,https://upload.wikimedia.org/wikipedia/commons/thumb/4/4b/Campanula_rotondifolia.jpg/220px-Campanula_rotondifolia.jpg,
Switzerland,Edelweiss,Clade,https://upload.wikimedia.org/wikipedia/commons/thumb/3/38/Alpen_Edelwei%C3%9F%2C_Leontopodium_alpinum_2.JPG/220px-Alpen_Edelwei%C3%9F%2C_Leontopodium_alpinum_2.JPG,
Turkey,Tulip,Tulipa,https://upload.wikimedia.org/wikipedia/commons/thumb/9/9e/%D7%A6%D7%91%D7%A2%D7%95%D7%A0%D7%99%D7%9D.JPG/220px-%D7%A6%D7%91%D7%A2%D7%95%D7%A0%D7%99%D7%9D.JPG,
United Kingdom,Tudor rose,Not found,Not found,
United Kingdom,Daffodil,Narcissus,https://upload.wikimedia.org/wikipedia/commons/thumb/6/63/Narcissus_poeticus_subsp._radiiflorus.1658.jpg/220px-Narcissus_poeticus_subsp._radiiflorus.1658.jpg,
United Kingdom,,Not found,Not found,
United Kingdom,Others,Not found,Not found,
Ukraine,Sunflower,Helianthus annuus,https://upload.wikimedia.org/wikipedia/commons/thumb/4/40/Sunflower_sky_backdrop.jpg/220px-Sunflower_sky_backdrop.jpg,
Ukraine,Guelder rose,Viburnum opulus,https://upload.wikimedia.org/wikipedia/commons/thumb/7/70/Viburnum_01.JPG/220px-Viburnum_01.JPG,
Canada,Maple leaf,Not found,Not found,
Mexico,Dahlia,Dahlia,https://upload.wikimedia.org/wikipedia/commons/thumb/a/ab/Dahlia_x_hybrida.jpg/220px-Dahlia_x_hybrida.jpg,
United States,Rose,Rosa rubiginosa,https://upload.wikimedia.org/wikipedia/commons/thumb/e/e6/Rosa_rubiginosa_1.jpg/220px-Rosa_rubiginosa_1.jpg,
Antigua and Barbuda,Agave karatto,Not found,Not found,
Bahamas,Yellow elder,Tecoma stans,https://upload.wikimedia.org/wikipedia/commons/thumb/6/69/Tecoma_Stans_%28Yellow_Elder%29_%2828863456756%29.jpg/220px-Tecoma_Stans_%28Yellow_Elder%29_%2828863456756%29.jpg,
Barbados,Pride of barbados,Not found,Not found,
Belize,Black orchid,Not found,Not found,
Costa Rica,Guaria morada,Not found,Not found,
Cuba,White ginger lily,Hedychium coronarium,https://upload.wikimedia.org/wikipedia/commons/thumb/9/91/Ng%E1%BA%A3i_ti%C3%AAn.jpg/220px-Ng%E1%BA%A3i_ti%C3%AAn.jpg,
Dominica,Sabinea carinalis,Not found,Not found,
Dominican Republic,Bayahibe rose,Not found,Not found,
Guatemala,Monja blanca,Lycaste skinneri,https://upload.wikimedia.org/wikipedia/commons/thumb/f/fb/Lycaste_skinneri_-_Warner%2C_Williams_-_Select_orch._plants_1%2C_pl._10_%281862-1865%29.jpg/220px-Lycaste_skinneri_-_Warner%2C_Williams_-_Select_orch._plants_1%2C_pl._10_%281862-1865%29.jpg,
Haiti,Choeblack,Not found,Not found,
Haiti,Rose kayenn,Not found,Not found,
Honduras,Orchid,Clade,https://upload.wikimedia.org/wikipedia/commons/thumb/2/2a/White_orchid_in_Clara_bog._03.jpg/220px-White_orchid_in_Clara_bog._03.jpg,"Orchids have many associations with symbolic values. For example, the orchid is the City Flower of Shaoxing, China. Cattleya mossiae is the national Venezuelan flower, while Cattleya trianae is the national flower of Colombia. Vanda Miss Joaquim is the national flower of Singapore, Guarianthe skinneri is the national flower of Costa Rica and Rhyncholaelia digbyana is the national flower of Honduras.[49] Prosthechea cochleata is the national flower of Belize, where it is known as the black orchid.[50] Lycaste skinneri has a white variety (alba) that is the national flower of Guatemala, commonly known as Monja Blanca (White Nun). Panama's national flower is the Holy Ghost orchid (Peristeria elata), or 'the flor del Espiritu Santo'. Rhynchostylis retusa is the state flower of the Indian state of Assam where it is known as Kopou Phul.[51]"
Jamaica,Lignum vitae,Not found,Not found,
Nicaragua,Sacuanjoche,Plumeria,https://upload.wikimedia.org/wikipedia/commons/thumb/e/ed/Plumeria_rubra-4.JPG/220px-Plumeria_rubra-4.JPG,
Australia,Golden wattle,Clade,https://upload.wikimedia.org/wikipedia/commons/thumb/9/9b/Acacia_pycnantha_Golden_Wattle.jpg/220px-Acacia_pycnantha_Golden_Wattle.jpg,
French Polynesia,Tahitian gardenia,Gardenia taitensis,https://upload.wikimedia.org/wikipedia/commons/thumb/2/2f/Tiar%C3%A9_tahiti.jpg/220px-Tiar%C3%A9_tahiti.jpg,
Fiji,Tagimaucia,Clade,https://upload.wikimedia.org/wikipedia/commons/thumb/2/24/Medinilla_waterhousei_%28Tagimoucia_flower%29_%2831175387024%29.jpg/220px-Medinilla_waterhousei_%28Tagimoucia_flower%29_%2831175387024%29.jpg,
New Zealand,Silver fern,Clade,https://upload.wikimedia.org/wikipedia/commons/thumb/9/97/Silver-fern.jpg/220px-Silver-fern.jpg,
New Zealand,Others,Not found,Not found,
Tonga,Heilala,Garcinia sessilis,https://upload.wikimedia.org/wikipedia/commons/thumb/8/85/Garcinia_sessilis%2C_flower.jpg/220px-Garcinia_sessilis%2C_flower.jpg,
Argentina,Ceibo,Not found,Not found,
Bolivia,Kantuta,Not found,Not found,
Bolivia,Patujú,Heliconia rostrata,https://upload.wikimedia.org/wikipedia/commons/thumb/b/bb/Heliconia_rostrata_4.jpg/220px-Heliconia_rostrata_4.jpg,
Brazil,Golden trumpet tree,Handroanthus chrysotrichus,https://upload.wikimedia.org/wikipedia/commons/thumb/3/3e/Ip%C3%AA_%28Avar%C3%A9%29_REFON.jpg/220px-Ip%C3%AA_%28Avar%C3%A9%29_REFON.jpg,
Chile,Copihue,Lapageria,https://upload.wikimedia.org/wikipedia/commons/thumb/1/17/Lapageria_rosea_Strybing.jpg/220px-Lapageria_rosea_Strybing.jpg,
Colombia,Cattleya trianae,Clade,https://upload.wikimedia.org/wikipedia/commons/thumb/d/d6/Cattleya_trianae.jpg/220px-Cattleya_trianae.jpg,
Guyana,Victoria regia lily,Not found,Not found,
Peru,Cantuta,Cantua buxifolia,https://upload.wikimedia.org/wikipedia/commons/thumb/b/bd/Kantutas_Cuzco.jpg/220px-Kantutas_Cuzco.jpg,
Paraguay,Mburucuyá,Not found,Not found,
Suriname,Jungle geranium,Ixora coccinea,https://upload.wikimedia.org/wikipedia/commons/thumb/7/77/Ixora_coccinea.jpg/220px-Ixora_coccinea.jpg,
Uruguay,Ceibo,Not found,Not found,
Venezuela,Flor de mayo,Clade,https://upload.wikimedia.org/wikipedia/commons/thumb/d/d6/Cattleya_trianae.jpg/220px-Cattleya_trianae.jpg,
